As of Date,Line Type,Line ID,Charge Code/Package,Charge Description,DRG,Patient Type,CPT,Modifiers,Rev Code,Gross Charges,Discounted Cash Price,De-Identified Minimum,De-Identified Maximum,Aetna Better Health Medicaid HMO,Aetna Exchange,Aetna GateKeeper,Aetna Medicare,Aetna National Advantage Program (NAP),Aetna Non-GateKeeper,Aetna Signature Administrators (ASA)
1/13/2023,CDM,136,3000000099,ALPHA-1-ANTITRYPSIN; PHENOTYPE,,OP,82104,  ,301,14,17.15,0.42,28.54,0.42,14,14,13.72,10.36,14,8.4
1/13/2023,CDM,137,3000000100,ALPHA-FETOPROTEIN SERUM,,OP,82105,  ,301,4.07,4.99,0.12,22.46,0.12,4.07,4.07,3.99,3.01,4.07,2.44
1/13/2023,CDM,138,3000000101,ALPHA-FETOPROTEIN AMNIOTIC,,OP,82106,  ,301,14.36,17.59,0.43,29.27,0.43,14.36,14.36,14.07,10.63,14.36,8.62
1/13/2023,CDM,139,3000000102,ALPHA-FETOPROTEIN L3,,OP,82107,  ,301,100,78.9,3,131.29,3,100,100,63.12,74,100,60
1/13/2023,CDM,140,3000000108,AMMONIA,,OP,82140,  ,301,470,17.85,6.75,470,14.1,27.49,41.13,14.28,347.8,41.13,282
1/13/2023,CDM,141,3000000110,AMYLASE,,OP,82150,  ,301,889,7.94,3.13,889,26.67,12.23,18.3,6.35,657.86,18.3,533.4
1/13/2023,CDM,142,3000000112,ANDROSTENEDIONE,,OP,82157,  ,301,10,12.25,0.3,40,0.3,10,10,9.8,7.4,10,6
1/13/2023,CDM,143,3000000113,ANGIOTENSIN I-CONVERTNG ENZYME,,OP,82164,  ,301,3.67,4.5,0.11,21,0.11,3.67,3.67,3.6,2.72,3.67,2.2
1/13/2023,CDM,144,3000000114,APOLIPOPROTEIN EACH,,OP,82172,  ,301,8.59,10.53,0.26,28.24,0.26,8.59,8.59,8.42,6.36,8.59,5.15
1/13/2023,CDM,145,3000000119,BILE ACIDS; TOTAL,,OP,82239,  ,301,4,4.9,0.12,22.92,0.12,4,4,3.92,2.96,4,2.4
1/13/2023,CDM,146,3000000121,TOTAL BILIRUBIN,,OP,82247,  ,300,140,6.15,2.46,140,4.2,9.48,14.18,4.92,103.6,14.18,84
1/13/2023,CDM,147,3000000122,DIRECT BILIRUBIN,,OP,82248,  ,300,180,6.15,2.46,180,5.4,9.48,14.18,4.92,133.2,14.18,108
1/13/2023,CDM,148,3000000124,OCCULT BLOOD FECES,,OP,82270,  ,301,147,5.36,2.15,147,4.41,6.13,9.17,4.29,108.78,9.17,88.2
1/13/2023,CDM,149,3000000128,VITAMIN D 25 HYDROXY,,OP,82306,  ,301,226,36.26,6.78,226,6.78,55.84,83.55,29.01,167.24,83.55,135.6
1/13/2023,CDM,150,3000000130,CALCIUM; TOTAL,,OP,82310,  ,300,320,6.33,2.53,320,9.6,9.72,14.54,5.06,236.8,14.54,192
1/13/2023,CDM,151,3000000131,CALCIUM; IONIZED,,OP,82330,  ,300,264,16.76,6.7,264,7.92,25.77,38.56,13.41,195.36,38.56,158.4
1/13/2023,CDM,152,3000000132,CALCIUM; URINE QUAN TIMED,,OP,82340,  ,301,225,7.39,2.96,225,6.75,11.38,17.03,5.91,166.5,17.03,135
1/13/2023,CDM,153,3000000134,STONE; QUAN CHEMICAL,,OP,82360,  ,301,31,15.76,0.93,31,0.93,24.29,31,12.61,22.94,31,18.6
1/13/2023,CDM,154,3000000135,STONE; IR SPECTROSCOPY,,OP,82365,  ,301,11.05,13.54,0.33,22.53,0.33,11.05,11.05,10.83,8.18,11.05,6.63
1/13/2023,CDM,155,3000000137,CARBON DIOXIDE (CO2),,OP,82374,  ,300,215,5.98,2.39,215,6.45,9.22,13.8,4.78,159.1,13.8,129
1/13/2023,CDM,156,3000000138,ASSAY CARBOXYHB QUANT,,OP,82375,  ,301,346,15.09,6.04,346,10.38,23.25,34.78,12.07,256.04,34.78,207.6
1/13/2023,CDM,157,3000000139,CEA,,OP,82378,  ,301,292,23.23,6.75,292,8.76,35.79,53.55,18.58,216.08,53.55,175.2
1/13/2023,CDM,158,3000000143,CATECHOLAMINES FRACTIONATED,,OP,82384,  ,301,16.09,19.71,0.48,43,0.48,16.09,16.09,15.77,11.91,16.09,9.65
1/13/2023,CDM,159,3000000144,CERULOPLASMIN,,OP,82390,  ,301,4.69,5.75,0.14,17,0.14,4.69,4.69,4.6,3.47,4.69,2.81
1/13/2023,CDM,160,3000000145,RL CHEMILUMINESCENT ASSAY,,OP,82397,  ,301,14.66,17.3,0.44,28.79,0.44,14.66,14.66,13.84,10.85,14.66,8.8
