Identifier Code,Billing Code,Identifier Description,NYU Langone Long Island Gross Charges,NYU Langone Long Island Discounted Cash Price,AETNA HMO
2020644,70360,HC X-RAY EXAM OF NECK,682.5,129.68,138.38
2022875,70370,HC NASOPHARYNX,577.62,109.75,480.19
2020645,70450,HC CT HEAD/BRAIN W/O DYE,4868.05,924.93,441.06
2020668,70553,HC MRI BRAIN W/O & W/DYE,12540.86,2382.76,1479.27
2020670,71045,HC RADEX CHEST 1 VIEW,414.59,78.77,103.4
2020671,71046,HC RADEX CHEST 2 VIEWS,513.49,97.56,140.46
2020673,71047,HC RADEX CHEST 3 VIEWS,626.34,119,177.51
2020676,71048,HC RADEX CHEST 4 OR MORE VIEWS,719.25,136.66,183.69
2020680,71100,HC X-RAY EXAM OF RIBS,576.88,109.61,156.91
2020687,71101,HC X-RAY EXAM OF RIBS/CHEST,1227.45,233.22,177.51
2020690,71101,HC X-RAY EXAM OF RIBS/CHEST,653.26,124.12,177.51
2020691,71110,HC X-RAY EXAM OF RIBS,703.67,133.7,181.62
2020692,71111,HC X-RAY EXAM OF RIBS/CHEST,893.85,169.83,224.85
2020693,71120,HC X-RAY EXAM OF BREASTBONE,567,107.73,146.63
2020694,71130,HC X-RAY EXAM OF BREASTBONE,504.62,95.88,187.79
2020711,72072,HC X-RAY EXAM OF THORACIC SPINE,655.49,124.54,171.34
2020712,72074,HC X-RAY EXAM OF THORACIC SPINE,745.51,141.65,198.12
2020713,72080,HC X-RAY EXAM OF TRUNK SPINE MIN OF 2 VWS,433.62,82.39,148.66
2025528,72081,HC X-RAY EXAM ENTIRE SPI 1 VIEW,948.95,180.3,179.59
2020704,72082,HC X-RAY EXAM ENTIRE SPI 2-3 VIEW,1527.79,290.28,331.92
2025529,72083,HC X-RAY EXAM ENTIRE SPI 4-5 VIEW,1655.86,314.61,373.12
2025530,72084,HC X-RAY EXAM ENTIRE SPI 6+ VIEW,1970.1,374.32,467.84
2020715,72100,HC RADEX SPI LUMBOSAC 2/3 VIEWS,974.4,185.14,175.44
2020716,72110,HC RADEX SPI LUMBOSAC MINIMUM 4 VIEWS,987.67,187.66,231.02
2020717,72114,HC RADEX SPI LUMBOSAC COMPL W/BENDING VIEWS,1253.93,238.25,286.66
2020718,72120,HC RADEX SPI LUMBOSAC BENDING MINIMUM 4 VIEWS,771.59,146.6,181.62
2020734,72148,HC MRI LUMBAR SPINE W/O DYE,7272.66,1381.81,848.78
2020740,72170,HC RADEX PELVIS 1/2 VIEWS,883.05,167.78,117.78
2020741,72170,HC RADEX PELVIS 1/2 VIEWS 76,580.81,110.35,117.78
2020743,72170,HC RADEX PELVIS COMPL MINIMUM 3 VIEWS 76,580.81,110.35,117.78
2020742,72190,HC RADEX PELVIS COMPL MINIMUM 3 VIEWS,1269.45,241.2,179.59
2020747,72193,HC CT PELVIS W/DYE,5414.96,1028.84,1056.74
2020748,72193,HC CT PELVIS W/DYE 52,5414.96,1028.84,1056.74
2020754,72200,HC RADEX SI JTS < 3 VIEWS,532.51,101.18,150.74
2020755,72202,HC RADEX SI JTS 3/MORE VIEWS,612.38,116.35,171.34
2020756,72220,HC X-RAY EXAM OF TAILBONE,554.4,105.34,144.56
2020757,72240,HC CONTRAST X-RAY OF NECK SPINE,2316.3,440.1,434.88
2020759,72265,"HC CONTRAST X-RAY, LOWER SPINE",2458.41,467.1,416.36
2020760,72270,"HC CONTRAST X-RAY, SPINE",2880.61,547.32,502.82
2023486,73000,HC CLAVICLE COMPLETE,687.19,130.57,146.63
2023487,73010,HC SCAPULA COMPLETE,759.45,144.3,91.05
2023488,73020,HC X-RAY EXAM OF SHOULDER 1 VIEW,583.22,110.81,86.9
2023489,73030,HC X-RAY EXAM OF SHOULDER 2+ VIEWS,890.4,169.18,152.81
2023490,73040,HC SHOULDER ARTHROGRAM,2027.55,385.23,628.47
2020783,73050,HC X-RAY EXAM OF SHOULDERS,650.42,123.58,117.78
2023491,73060,HC X-RAY EXAM OF HUMERUS 2+ VIEWS,721.35,137.06,146.63
2023492,73070,HC X-RAY EXAM OF ELBOW 2 VIEWS,725.22,137.79,128.11
2023493,73080,HC X-RAY EXAM OF ELBOW 3+ VIEWS,890.4,169.18,144.56
2023495,73090,HC X-RAY EXAM OF FOREARM 2 VIEWS,846.3,160.8,130.13
2022885,73092,HC UEXTREM INFANT MIN 2 VW,721.35,137.06,144.56
2023496,73100,HC X-RAY EXAM OF WRIST 2 VIEWS,721.35,137.06,156.91
2023497,73110,HC X-RAY EXAM OF WRIST 3+ VIEWS,890.4,169.18,193.97
2023498,73115,HC WRIST ARTHROGRAM,2027.55,385.23,661.37
2020831,73120,HC RADEX HAND 2 VIEWS,786.08,149.36,140.46
2023499,73130,HC X-RAY EXAM OF HAND 3+ VIEWS,911.6,173.2,169.26
2023500,73140,HC X-RAY EXAM OF FINGER(S) 2+ VIEWS,721.35,137.06,185.77
2023511,73501,HC X-RAY EXAM OF HIP 1 VIEW UNILAT,406.99,77.33,140.46
2025524,73502,HC X-RAY EXAM HIP UNI 2-3 VIEWS,562.4,106.86,216.65
2025525,73503,HC X-RAY EXAM HIP UNI 4+ VIEWS,702.74,133.52,274.31
2025531,73521,HC X-RAY EXAM HIPS BI 2 VIEWS,542.96,103.16,183.69
2025567,73521,HC X-RAY EXAM HIPS BI 2 VIEWS,387.61,73.65,183.69
2025532,73522,HC X-RAY EXAM HIPS BI 3-4 VIEWS,663.89,126.14,237.2
2025568,73522,HC X-RAY EXAM HIPS BI 3-4 VIEWS,406.99,77.33,237.2
2025534,73523,HC X-RAY EXAM HIPS BI 5+ VIEWS,770.74,146.44,280.48
2023513,73525,HC HIP ARTHROGRAM,1955.07,371.46,640.82
2025535,73551,HC X-RAY EXAM OF FEMUR 1,753.12,143.09,130.13
2025536,73552,HC X-RAY EXAM OF FEMUR 2+,879.08,167.03,161.06
2020903,73560,"HC X-RAY EXAM OF KNEE, 1 OR 2",821.1,156.01,158.99
2020906,73562,"HC X-RAY EXAM OF KNEE, 3 52",904,171.76,189.87
2023516,73562,HC X-RAY EXAM OF KNEE 3,904,171.76,189.87
2023517,73564,HC X-RAY EXAM KNEE 4 OR MORE,1048.53,199.22,212.5
2020916,73565,HC X-RAY KNEE EXAM; BOTH KNEES STANDING AP,867.23,164.77,196.04
2023518,73580,HC KNEE ARTHROGRAM,2027.55,385.23,714.93
2020926,73590,HC X-RAY EXAM OF LOWER LEG,972.46,184.77,144.56
2022876,73592,HC LEG LENGTH INFANT,228.22,43.36,144.56
2022882,73600,HC ANKLE WT BEAR ONLY,715.08,135.87,148.66
2023519,73610,HC X-RAY EXAM OF ANKLE 3+ VIEWS,906.15,172.17,171.34
2023520,73615,HC ANKLE ARTHROGRAM,2027.55,385.23,659.35
2023521,73620,HC X-RAY EXAM OF FOOT; 2 VIEWS,730.3,138.76,128.11
2023522,73630,HC X-RAY EXAM OF FOOT; 3+ VIEWS,906.15,172.17,158.99
2023523,73650,HC X-RAY EXAM OF HEEL 2+ VIEWS,575.62,109.37,128.11
2020957,73660,HC X-RAY EXAM OF TOE(S),702.41,133.46,138.38
2023528,73721,HC MRI - LE JNT WO CONTR,6325.51,1201.85,958.31
2020990,74018,HC XRAY EX OF AB 1 VIEW,557.87,106,128.11
2025971,74019,HC X-RAY EXAM ABDOMEN 2 VIEWS,869.77,165.26,156.91
2025972,74021,HC X-RAY EXAM ABDOMEN 3+ VIEWS,956.75,181.78,181.62
2020991,74022,HC X-RAY EXAM COMPLETE ABDOMEN,1162.35,220.85,208.4
2022918,74177,HC CT ABD & PEL W/CONT,8251.96,1567.87,1477.2
2021000,74220,HC X-RAY XM ESOPHAGUS 1CNTRST,1530.9,290.87,434.88
2021001,74230,HC X-RAY XM SWLNG FUNCJ C+,1276.8,242.59,651.1
2021002,74240,HC X-RAY XM UPR GI TRC 1CNTRST,662.22,125.82,525.5
2023633,74246,HC X-RAY XM UPR GI TRC 2CNTRST,662.22,125.82,609.94
2026629,74248,HC X-RAY SM INT F-THRU STD,400,76,308.85
2021007,74250,HC X-RAY XM SM INT 1CNTRST STD,1578.51,299.92,525.5
2021008,74251,HC X-RAY XM SM INT 2CNTRST STD,728.44,138.4,1056.74
2021009,74270,HC X-RAY XM COLON 1CNTRST STD,1665.99,316.54,661.37
2021010,74280,HC X-RAY XM COLON 2CNTRST STD,2332.89,443.25,1025.86
2021011,74283,HC THER ENEMA C+ RDCTJ INTUSSUSCEPTION/OBSTRCJ,965.43,183.43,986.73
2021012,74300,HC CHOLANGRPH&/PCG INTRAOP RS&I,817.78,155.38,286.51
2021016,74328,HC X-RAY BILE DUCT ENDOSCOPY,912.87,173.45,880.43
2021017,74329,HC X-RAY FOR PANCREAS ENDOSCOPY,903.75,171.71,728.01
2021018,74330,HC X-RAY BILE/PANC ENDOSCOPY,1021.65,194.11,880.43
2025010,74360,HC DILATE FOR STRICTURE/OBSTR,1210.65,230.02,880.43
2021022,74420,"HC X-RAY, URINARY TRACT EXAM WITH CONTRAST MATERIAL",2530.68,480.83,315.46
2021023,74425,HC UROGRAPHY ANTEGRADE RS&I,2530.68,480.83,694.33
2021024,74430,"HC CONTRAST X-RAY, BLADDER",1756.65,333.76,156.91
2022883,74450,HC URETHOGRAM RETRO,1858.19,353.06,407.24
2021025,74455,"HC X-RAY, URETHRA/BLADDER",3404.39,646.83,546.1
2023636,74740,HC HYSTEROSALPINGOGRAM,1968.75,374.06,480.19
2022718,74742,HC TRANS CATH FALLOP TUBE,402.23,76.42,731.39
2021036,75625,HC CATH/EP AORTOGRAPY ABDL SRLOGRAPY RS&I,11264,2140.16,401.93
2021037,75630,"HC X-RAY AORTA, LEG ARTERIES",9315.86,1770.01,426.68
2021057,75705,HC ANGRPH SPI SLCTV RS&I,10385.55,1973.25,816.26
2021059,75710,"HC ARTERY X-RAYS, ARM/LEG",10012.8,1902.43,455.49
2021062,75710,"HC CATH/EP ARTERY X-RAYS, ARM/LEG",7149.61,1358.43,455.49
2021064,75716,"HC CATH/EP ARTERY X-RAYS, ARMS/LEGS",10012.8,1902.43,470.35
2021068,75726,"HC ARTERY X-RAYS, ABDOMEN",11928.17,2266.35,507.41
2021069,75726,"HC CATH/EP ARTERY X-RAYS, ABDOMEN",11360.16,2158.43,507.41
2021070,75736,"HC ARTERY X-RAYS, PELVIS",7179.97,1364.19,567.09
2021073,75743,HC ANGRPH PULM BI SLCTV RS&I,11639.09,2211.43,469.91
2022723,75756,HC INTERNAL MAMMARY ANGIO,3874.54,736.16,649.46
2021074,75774,"HC CATH/EP ARTERY X-RAY, EACH VESSEL",4205.25,799,346.34
2022724,75774,HC ANGIOGR EA ADDTL VESSEL,3440.17,653.63,346.34
2021077,75809,"HC NONVASCULAR SHUNT, X-RAY",1036.35,196.91,397.83
2021080,75820,"HC CATH/EP VEIN X-RAY, ARM/LEG",3538.64,672.34,408.11
2021081,75822,"HC VEIN X-RAY, ARMS/LEGS",4175.12,793.27,432.86
2021083,75825,"HC VEIN X-RAY, TRUNK",9427.95,1791.31,408.11
2021084,75827,"HC VEIN X-RAY, CHEST",6627.6,1259.24,439.03
2021085,75831,HC VNGRPH RNL UNI SLCTV RS&I,11639.09,2211.43,445.21
2021087,75860,"HC VEIN X-RAY, NECK",3874.54,736.16,480.19
2021089,75870,HC VNGRPH SUPRIOR SGTL SINUS RS&I,4029.52,765.61,677.88
2021094,75889,HC HEPATC VNGRPH WDG/FR HEMODYN EVAL RS&I,3874.54,736.16,471.94
2021095,75893,HC VENOUS SAMPLING BY CATHETER,11639.09,2211.43,515.17
2021096,75894,HC TCAT THER EMBOLIZATION ANY METH RS&I,17915.08,3403.87,6731.03
2023085,75898,HC EXISTING CATH ANGIOGR FOR FOLLOW-UP,10731,2038.89,293.85
2022725,75970,HC TRANSCATHETER BIOPSY S&I,9701.78,1843.34,3215.53
2021118,75984,HC XRAY CONTROL CATHETER CHANGE,2065.37,392.42,401.93
2021119,75989,HC ABSCESS DRAINAGE UNDER X-RAY,2448.26,465.17,383.4
2021122,76000,HC FLUOROSCOPE EXAMINATION,1866.54,354.64,167.24
2021125,76080,HC X-RAY EXAM OF FISTULA,1425.9,270.92,214.57
2021126,76098,HC RAD XM SURG SPEC,1434.51,272.56,163.09
2021134,76499,HC RADIOGRAPHIC PROCEDURE,1654.8,314.41,240.05
2021135,76506,HC ECHO EXAM OF HEAD,1376.07,261.45,523.42
2025426,76519,HC A-SCAN EYE US W IOL MEASR,521.65,99.11,224.85
2021136,76536,HC US EXAM OF HEAD AND NECK,1971.12,374.51,539.93
2021137,76604,"HC US EXAM, CHEST",1452,275.88,237.2
2025085,76641,HC ULTRASOUND BREAST COMPLETE,1485,282.15,432.86
2025086,76642,HC ULTRASOUND BREAST LIMITED,1356.15,257.67,331.92
2021141,76700,"HC US EXAM, ABDOM, COMPLETE",1971.12,374.51,502.82
2021147,76801,"HC OB US < 14 WKS, SINGLE FETUS",2891.6,549.4,447.24
2023541,76802,HC OB US < 14 WKS ADDL FETUS,1528.81,290.47,133.85
2021148,76805,"HC OB US >/= 14 WKS, SNGL FETUS",3323.29,631.42,558.45
2025427,76811,HC OB US DETAILED SNGL FETUS,902.26,171.43,513.58
2025428,76812,HC OB US DETAILED ADDL FETUS,714.7,135.79,686.51
2023765,76813,HC OB US NUCHAL MEAS 1 GEST,613.24,116.52,393.73
2025331,76814,HC OB US NUCHAL MEAS ADD-ON,412.02,78.28,183.69
2022587,76815,HC OB US LIMITED 1+ FETUS(S),3387.63,643.65,319.57
2022580,76816,HC OB US FOLLOW-UP PER FETUS,4633.7,880.4,439.03
2022729,76817,HC TRANSVAGINAL OB US,3911.62,743.21,362.85
2021150,76818,HC FETAL BIOPHYS PROFILE W/NST,4180,794.2,402.36
2021151,76819,HC FETAL BIOPHYS PROFIL W/O NST,2984.16,566.99,296.94
2024834,76820,HC UMBILICAL ARTERY ECHO,340.03,64.61,136.31
2025034,76821,HC FETAL MIDL CEREBRAL ARTERY ECHO,578.57,109.93,350.49
2022733,76828,HC LIMIT FETAL DOPPLER ECHOCARDIOGRAM,522.21,99.22,150.74
2021153,76830,"HC TRANSVAGINAL US, NON-OB",2139.81,406.56,550.2
2023637,76831,HC SALINE INFUSED SONOHYSTEROGRAM,866.04,164.55,521.4
2021158,76881,HC US COMPL JOINT R-T W/IMG,2865.04,544.36,218.67
2023137,76882,HC US LMTD JT/NONVASC XTR STRUX,1161.6,220.7,202.22
2021161,76885,"HC US EXAM INFANT HIPS, DYNAMIC",1517.38,288.3,480.19
2026982,76886,HC US EXAM INFANT HIPS STATIC,1517.38,288.3,453.41
2021165,76937,"HC US GUIDE, VASCULAR ACCESS",819.53,155.71,148.27
2021166,76940,"HC US GUIDE, TISSUE ABLATION",843.44,160.25,498.77
2021167,76942,HC US GUIDED NEEDLE PLACEMENT,3639.41,691.49,165.16
2025429,76945,HC US GUIDED CVS,408.32,77.58,425.48
2023638,76946,HC US GUIDED AMNIOCENTESIS,294.88,56.03,86.9
2023596,76965,HC US INTERSTITIAL RE APPLIC,874.65,166.18,158.99
2026287,76978,HC US TRGT DYN MBUBB 1ST LES,779.69,148.14,1441.78
2026289,76981,HC USE PARENCHYMA,434.84,82.62,476.09
2026290,76982,HC USE 1ST TARGET LESION,434.84,82.62,428.71
2026291,76983,HC USE EA ADDL TARGET LESION,289.89,55.08,228.56
2021168,76998,"HC US GUIDE, INTRAOP",1241.9,235.96,732.3
2023542,76999,HC UNLISTED ULTRASOUND,638.89,121.39,359.29
2021169,77001,HC FLUOROGUIDE FOR VEIN DEVICE,1658.52,315.12,511.07
2021170,77002,HC NEEDLE LOCALIZATION BY XRAY,2193.81,416.82,539.93
2021171,77003,HC FLUOROGUIDE FOR SPINE INJECT,1146,217.74,459.59
2025148,77061,HC DIAG BREAST TOMOSYNTHESIS UNI ADD-ON,136.75,25.98,76.9
2025274,77062,HC DIAG BREAST TOMOSYNTHESIS BI ADD-ON,136.75,25.98,76.9
2025149,77063,HC SCR DIGITAL BREAST TOMOSYNTHESS BI ADD-ON,161.68,30.72,150.3
2023535,77065,HC DX MAMMO INCL CAD UNI,1426.83,271.1,541.95
2023341,77066,HC DX MAMMO INCL CAD BI,1719.05,326.62,692.25
2023340,77067,HC SCR MAMMO BI INCL CAD,1490.01,283.1,572.83
2021178,77072,HC X-RAYS FOR BONE AGE,584.49,111.05,103.4
2021179,77073,"HC X-RAYS, BONE LENGTH STUDIES",2026.5,385.04,193.97
2022578,77073,HC XRAY BONE LNGHT STUDIES,653.26,124.12,193.97
2021180,77074,"HC X-RAYS, BONE SURVEY, LIMITED",907.8,172.48,266.05
2021181,77075,"HC X-RAYS, BONE SURVEY COMPLETE",1243.79,236.32,434.88
2021182,77076,"HC X-RAYS, BONE SURVEY, INFANT",1355.36,257.52,439.03
2021183,77080,"HC DXA BONE DENSITY, AXIAL",1176.59,223.55,173.41
2021184,77081,HC DXA BONE DENSITY/PERIPHERAL,729.03,138.52,132.21
2025237,77085,HC DXA BONE DENSITY STUDY,1176.59,223.55,229
2023314,77086,HC FRACTURE ASSESSMENT VIA DXA,253.28,48.12,154.89
2023330,78608,HC PET IM METABOLIC BRAIN W/O IVC,16321.8,3101.14,8739.09
2023579,78814,HC PET IMAGE W/CT LMTD,19539.3,3712.47,8739.09
2023331,78815,HC PET IMAGE W/CT SKULL-THIGH,19539.3,3712.47,8739.09
2023332,78816,HC PTCT IMAGE WHOLE BODY WOIVC,19539.3,3712.47,8739.09
2026066,80047,HC METABOLIC PANEL IONIZED CA,43.25,8.22,33.27
2021282,80048,HC METABOLIC PANEL TOTAL CA,264.6,50.27,20.5
2026256,80050,HC GENERAL HEALTH PANEL,677.67,128.76,399.24
2021283,80051,HC ELECTROLYTE PANEL,212.1,40.3,16.98
2021284,80053,HC COMPREHEN METABOLIC PANEL,940.8,178.75,25.59
2021286,80061,HC LIPID PANEL,388.5,73.82,32.44
2021287,80069,HC RENAL FUNCTION PANEL,185.12,35.17,21.03
2021288,80074,HC ACUTE HEPATITIS PANEL,580.65,110.32,115.4
2021289,80076,HC HEPATIC FUNCTION PANEL,550.2,104.54,19.79
2024852,80155,HC DRUG SCREEN QUANT CAFFEINE,204.75,38.9,93.45
2021295,80156,"HC ASSAY, CARBAMAZEPINE, TOTAL",284.55,54.06,35.3
2024863,80157,"HC ASSAY, CARBAMAZEPINE, FREE",168,31.92,32.1
2021296,80158,HC ASSAY OF CYCLOSPORINE,733.95,139.45,43.73
2024864,80159,HC CLOZAPINE,97.01,18.43,48.82
2021298,80162,HC ASSAY OF DIGOXIN,384.3,73.02,32.18
2021300,80164,"HC ASSAY, DIPROPYLACETIC ACID",188.92,35.89,32.81
2025221,80165,HC DIPROPYLACETIC ACID FREE,188.92,35.89,32.81
2023070,80168,HC ETHOSUXIMIDE,352.8,67.03,39.59
2024853,80171,HC DRUG SCREEN QUANT GABAPENTIN,68.62,13.04,52.5
2021304,80173,HC ASSAY OF HALOPERIDOL,544.95,103.54,38.23
2024854,80175,HC DRUG SCREEN QUAN LAMOTRIGINE,69.73,13.25,32.1
2021306,80176,HC ASSAY OF LIDOCAINE,346.5,65.84,35.59
2024857,80177,HC DRUG SCRN QUAN LEVETIRACETAM,69.73,13.25,32.1
2021307,80178,HC ASSAY OF LITHIUM,167.36,31.8,16.02
2024865,80180,HC MYCOPHENOLATE (MYCOPHENOLIC ACID),93.83,17.83,43.73
2024858,80183,HC DRUG SCRN QUANT OXCARBAZEPIN,69.73,13.25,32.1
2021309,80184,HC ASSAY OF PHENOBARBITAL,309.75,58.85,37.07
2021310,80185,"HC ASSAY OF PHENYTOIN, TOTAL",309.75,58.85,32.1
2021311,80186,"HC ASSAY OF PHENYTOIN, FREE",132.3,25.14,33.34
2021312,80188,HC ASSAY OF PRIMIDONE,374.85,71.22,40.2
2021314,80192,HC PROCAINAMIDE METABOLITES,98.9,18.79,40.58
2021315,80194,HC ASSAY OF QUINIDINE,199.5,37.91,35.37
2021316,80195,HC ASSAY OF SIROLIMUS,296.69,56.37,33.27
2021318,80197,HC ASSAY OF TACROLIMUS,418.95,79.6,33.27
2021320,80198,HC ASSAY OF THEOPHYLLINE,243.43,46.25,34.26
2021322,80201,HC ASSAY OF TOPIRAMATE,245.7,46.68,28.88
2021323,80202,HC ASSAY OF VANCOMYCIN,374.85,71.22,32.81
2024856,80203,HC DRUG SCREEN QUANT ZONISAMIDE,69.73,13.25,32.1
2021324,80299,"HC QUANTITATIVE ASSAY, DRUG",249.77,47.46,45.16
2025790,80305,HC DRUG TEST PRSMV DIR OPT OBS,362.25,68.83,30.53
2025784,80306,HC DRUG TEST PRSMV INSTRMNT,198.45,37.71,41.53
2025798,80307,HC DRUG TEST PRSMV CHEM ANLYZR,253.58,48.18,150.56
2025094,80320,HC DRUG SCREEN QUANTALCOHOLS,286.55,54.44,168.82
2025095,80321,HC ALCOHOLS BIOMARKERS 1OR 2,259.92,49.38,153.13
2021494,80323,HC ALKALOIDS NOS,229.49,43.6,135.2
2025100,80327,HC ANABOLIC STEROID 1 OR 2,247.23,46.97,145.66
2025102,80329,HC ANALGESICS NON-OPIOID 1 OR 2,311.9,59.26,183.76
2025105,80335,HC ANTIDEPRESSANT TRICYCLIC 1/2,106.5,20.24,62.74
2025108,80339,HC ANTIEPILEPTICS NOS 1-3,182.39,34.65,107.45
2025892,80342,HC ANTIPSYCHOTICS NOS 1-3,200.3,38.06,118
2025111,80346,HC BENZODIAZEPINES1-12,271.33,51.55,159.85
2026479,80349,HC CANNABINOIDS NATURAL,371.53,70.59,218.89
2023130,80353,HC DRUG SCREENING COCAINE,85.2,16.19,50.19
2025704,80354,HC DRUG SCREENING FENTANYL,81.14,15.42,47.81
2021487,80358,HC DRUG SCREENING METHADONE,69.73,13.25,41.08
2025113,80361,HC OPIATES 1 OR MORE,186.38,35.41,109.8
2021303,80375,HC DRUG/SUBSTANCE NOS 1-3,101.18,19.22,59.61
2021325,81000,"HC URINALYSIS, NONAUTO W/SCOPE",17.76,3.37,9.74
2023333,81001,HC URINALYSIS AUTO W/ MICROSCOPY,135.45,25.74,7.68
2023222,81002,HC N-AUTOM URINALYS WO MICRO,42.6,8.09,8.43
2021326,81003,"HC URINALYSIS, AUTO, W/O SCOPE",209.01,39.71,5.45
2021329,81015,HC MICROSCOPIC EXAM OF URINE,17.31,3.29,7.39
2024638,81025,"HC URINE PREGNANCY TEST, BY VISUAL COLOR COMPARISON METHODS",91.86,17.45,20.86
2021330,81050,"HC URINALYSIS, VOLUME MEASURE",16.49,3.13,8.82
2024495,81206,HC BCR-ABL (CML),1725.89,327.92,397.25
2024496,81207,HC BCR-ABL (ALL),1725.89,327.92,350.93
2026995,81208,HC BCR/ABL1 GENE OTHER BP,676.05,128.45,519.99
2025646,81219,HC CALR GENE COM VARIANTS,1011.77,192.24,294.69
2024525,81220,HC CFTR GENE COM VARIANTS,1346.1,255.76,1348.56
2024533,81228,HC CYTOGEN MICRARRAY COPY NMBR,7818.08,1485.44,2180.57
2024534,81229,HC CYTOGEN M ARRAY COPY NO&SNP,8832.6,1678.19,2810.51
2024535,81240,HC F2 GENE,1062.65,201.9,159.16
2024536,81241,HC F5 GENE,330.13,62.72,177.76
2024538,81243,HC FMR1 GENE DETECTION,617.85,117.39,138.2
2024545,81256,HC HFE GENE,786,149.34,158.36
2023568,81257,HC HBA1/HBA2 GENE,1460.59,277.51,247.76
2024489,81261,HC IGH GENE REARRANGE AMP METH,1842.11,350,479.7
2024504,81264,HC IGK REARRANGEABN CLONAL POP,1842.11,350,418.5
2024549,81265,HC STR MARKERS SPECIMEN ANAL,779.43,148.09,564.69
2024550,81267,HC CHIMERISM ANAL NO CELL SELEC,836.47,158.93,502.64
2024488,81270,HC JAK2,1466.52,278.64,222.08
2026058,81340,HC TRB GENE REARRANGE AMPLIFY,1097.25,208.48,506.18
2024490,81342,HC TRG GENE REARRANGEMENT ANAL,1872.54,355.78,488.2
2023567,81372,HC HLA I TYPING COMPLETE LR,1763.61,335.09,977.84
2024710,81373,HC HLA I & II TYPE VERIFY LR,881.81,167.54,308.74
2024568,81374,HC HLA I TYPING 1 ANTIGEN LR,684.38,130.03,180.09
2024986,81376,HC HLA II TYPING 1 LOCUS LR,718.88,136.59,296.12
2024570,81379,HC HLA I TYPING COMPLETE HR,5863.99,1114.16,812.58
2024572,81381,HC HLA I TYPING 1 ALLELE HR,760.42,144.48,411.64
2024573,81382,HC HLA II TYPING 1 LOC HR,1787,339.53,299.66
2024575,81400,HC MOPATH PROCEDURE LEVEL 1,1330.36,252.77,154.97
2024578,81404,HC MOPATH PROCEDURE LEVEL 5,3006.1,571.16,665.87
2025220,81445,HC TARGETED GENO SEQ ANALYS SOL FUSION SEQR NEO 5-50,2318.59,440.53,1448.65
2027196,81445,HC TARGETED GENOMIC SEQ ANALYS - ONCOMINE,1485.03,282.15,1448.65
2024493,81479,HC UNLISTED MOLECULAR PATHOLOGY,1052.1,199.9,399.6
